34th Street,Nostrand,A,06/022/2015
Nostrand,Fulton Street,A,06/02/2015
Fulton Street,Spring Street,A,06/02/2015
Spring Street,Nostrand,A,06/02/2015
Nostrand,96th,A,06/03/2015
58th,Nostrand,A,06/03/2015
Nostrand,Hoyt,A,06/04/2015
High,Nostrand,A,06/04/2015
Nostrand,Fulton,A,06/04/2015
Pelham Bay Park,28th,6,06/04/2015
28th,110th,6,06/04/2015
110th,Pelham Bay Bridge,6,06/04/2015
High,Nostrand,A,06/04/2015
Nostrand,Grand Central,A to 5,06/05/2015
Grand Central,Nostrand,5 to A,06/05/2015
Nostrand,Fulton,A,06/05/2015
Fulton,Nostrand,A,06/05/2015
Nostrand,Lafayette,C,06/06/2015
Franklin,Botanic Garden,4 to S,06/06/2015
Nostrand,33rd,A to 4 to 6,06/06/2015
23rd,Nostrand,A,06/06/2015
Nostrand,High,A,06/07/2015
High,Nostrand,A,06/07/2015
Nostrand,125,A,06/07/2015
125,86,C,06/07/2015
81,Nostrand,C,06/07/2015
Nostrand,Fulton,A,06/08/2015
Fulton,Nostrand,A,06/08/2015
Nostrand,Fulton,A,06/09/2015
Fulton,Nostrand,A,06/09/2015
Nostrand,Fulton,A,06/10/2015
Chambers St.,Nostrand,A,06/10/2015
Nostrand,Fulton,A,06/11/2015
Fulton,Nostrand,A,06/11/2015
Nostrand,Fulton,A,06/12/2015
Fulton,Nostrand,A,06/12/2015
Nostrand,Fulton,A,06/13/2015
Wall St.,St Atlantic Ave.,3,06/13/2015
Atlantic Ave.,86th St,4,06/13/2015
86th St,Brooklyn Bridge,6,06/13/2015
Fulton,Nostrand,A,06/13/2015
Nostrand,High,A,06/14/2015
High,Fulton,A,06/14/2015
Fulton,Nostrand,A,06/14/2015
Nostrand,Hoyt,A,06/14/2015
Bergen St,Classon.G,06/14/2015
Nostrand,Fulton,A,06/15/2015
Fulton,Nostrand,A,06/15/2015
Nostrand,Fulton,A,06/16/2015
Fulton,Nostrand,A,06/16/2015
Nostrand,Fulton,A,06/17/2015
Fulton,Nostrand,A,06/17/2015
Nostrand,Fulton,A,06/18/2015
Fulton,Nostrand,A,06/18/2015
Nostrand,Fulton,A,06/19/2015
Fulton,Nostrand,A,06/19/2015
Nostrand,Hoyt,A,06/20/2015
Lafayette,Nostrand,C,06/20/2015
Nostrand,Chambers St,A,06/20/2015
Chambers St,Nostrand,A,06/20/2015
Bedford/Nostrand Ave,Nassau,G,06/21/2015
Nassau,Bergen St,G,06/21/205
Hoyt,Bergen St,3,06/21/2015
Lafayette,Nostrand,C,06/21/2015
Nostrand,Fulton,A,06/22/2015
Fulton,Nostrand,C,06/22/2015
Nostrand,Fulton,A,06/23/2015
Fulton,Nostrand,C,06/23/2015
Nostrand,Fulton,A,06/24/2015
Fulton,Nostrand,A,06/24/2015
